kind	symbolId	diagnosticCode	documentUri	jsonPointer	reason	reasonSha256	category	waiverId	rationale	owner	disposition
operation	operation:activity/list-events-for-authenticated-user	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1users~1{username}~1events/get	Operation 'activity/list-events-for-authenticated-user' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration	f5dfceb2b1020fde32810cc2b6011778b51e0ff8046b93f683b2d0549f30c753	dependent-operation-closure	github-operation-paths-users-username-events-get	Fixed-point closure: operation:activity/list-events-for-authenticated-user depends on schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:activity/list-org-events-for-authenticated-user	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1users~1{username}~1events~1orgs~1{org}/get	Operation 'activity/list-org-events-for-authenticated-user' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration	3b0d140a4716ac6dac9f49f07ef83b81b3fb52e66ee014b67c1457d7f4ac2232	dependent-operation-closure	github-operation-paths-users-username-events-orgs-org-get	Fixed-point closure: operation:activity/list-org-events-for-authenticated-user depends on schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:activity/list-public-events	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1events/get	Operation 'activity/list-public-events' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration	2d1bcb123052b13086e6ae13427362e8dc29bae18d97ffe4079dbb78ecb00a05	dependent-operation-closure	github-operation-paths-events-get	Fixed-point closure: operation:activity/list-public-events depends on schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:activity/list-public-events-for-repo-network	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1networks~1{owner}~1{repo}~1events/get	Operation 'activity/list-public-events-for-repo-network' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration	5760cd8c345166206257beda4595d907a6b2c4ddadb3e7df6b9510354a094b09	dependent-operation-closure	github-operation-paths-networks-owner-repo-events-get	Fixed-point closure: operation:activity/list-public-events-for-repo-network depends on schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:activity/list-public-events-for-user	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1users~1{username}~1events~1public/get	Operation 'activity/list-public-events-for-user' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration	b46ab9b11268b41b1579f01e52b0014a83ff1ba3bdda17a02ac99b282dd7fd36	dependent-operation-closure	github-operation-paths-users-username-events-public-get	Fixed-point closure: operation:activity/list-public-events-for-user depends on schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:activity/list-public-org-events	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1orgs~1{org}~1events/get	Operation 'activity/list-public-org-events' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration	22a0b8198b1c2e70224e64f20482006fc1795bff10f15dd46581baed0e2ef386	dependent-operation-closure	github-operation-paths-orgs-org-events-get	Fixed-point closure: operation:activity/list-public-org-events depends on schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:activity/list-received-events-for-user	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1users~1{username}~1received_events/get	Operation 'activity/list-received-events-for-user' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration	95f4beae1f586f5ea2b07d43ade407b1a135d563c39baeb311e098e68c5e473a	dependent-operation-closure	github-operation-paths-users-username-received-events-get	Fixed-point closure: operation:activity/list-received-events-for-user depends on schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:activity/list-received-public-events-for-user	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1users~1{username}~1received_events~1public/get	Operation 'activity/list-received-public-events-for-user' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration	58442b607db91cf2cb9d8dd2ff7fd9ac836737a9e43db7d1ee0a238d636c07a6	dependent-operation-closure	github-operation-paths-users-username-received-events-public-get	Fixed-point closure: operation:activity/list-received-public-events-for-user depends on schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:activity/list-repo-events	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1events/get	Operation 'activity/list-repo-events' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration	2eece04dfca59f76ba163a9e899354598bcff6b01dd6aaf422f90e274dedf31f	dependent-operation-closure	github-operation-paths-repos-owner-repo-events-get	Fixed-point closure: operation:activity/list-repo-events depends on schema sdkgen://source/openapi.yaml#/components/schemas/event has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:campaigns/create-campaign	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1orgs~1{org}~1campaigns/post	Operation 'campaigns/create-campaign' cannot be represented: schema sdkgen://source/openapi.yaml#/paths/~1orgs~1{org}~1campaigns/post/requestBody/content/application~1json/schema has no emitted declaration	5f80fcd6cdc6b56ad68a28786add6615455ceaa40aa4d4f7e03121c7a7866ca3	dependent-operation-closure	github-operation-paths-orgs-org-campaigns-post	Fixed-point closure: operation:campaigns/create-campaign depends on schema sdkgen://source/openapi.yaml#/paths/~1orgs~1{org}~1campaigns/post/requestBody/content/application~1json/schema has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:git/create-blob	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1git~1blobs/post	Operation 'git/create-blob' cannot be represented: schema sdkgen://source/openapi.yaml#/paths/~1repos~1{owner}~1{repo}~1git~1blobs/post/responses/422/content/application~1json/schema has no emitted declaration	7fe36c8b07d5a6b4b012692a910cc5e43d533f30d3b1263002f2e644122d9e5a	dependent-operation-closure	github-operation-paths-repos-owner-repo-git-blobs-post	Fixed-point closure: operation:git/create-blob depends on schema sdkgen://source/openapi.yaml#/paths/~1repos~1{owner}~1{repo}~1git~1blobs/post/responses/422/content/application~1json/schema has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/add-assignees	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1issues~1{issue_number}~1assignees/post	Operation 'issues/add-assignees' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration	c1131c1a07f0ef61ab6310b0f594cd419a5831f7bfc5eb2fe5638669ee44a6e2	dependent-operation-closure	github-operation-paths-repos-owner-repo-issues-issue-number-assignees-post	Fixed-point closure: operation:issues/add-assignees depends on schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/add-blocked-by-dependency	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1issues~1{issue_number}~1dependencies~1blocked_by/post	Operation 'issues/add-blocked-by-dependency' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration	a713840374af9afcc4351f69c6bf80e06421b863f8b84a034058faefa46bfd01	dependent-operation-closure	github-operation-paths-repos-owner-repo-issues-issue-number-dependencies-blocked-by-post	Fixed-point closure: operation:issues/add-blocked-by-dependency depends on schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/add-sub-issue	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1issues~1{issue_number}~1sub_issues/post	Operation 'issues/add-sub-issue' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration	97f6d39db7e1b4cd5f929e4ec6f4b765ba38a15d0c5e2c542db80e649ba909a0	dependent-operation-closure	github-operation-paths-repos-owner-repo-issues-issue-number-sub-issues-post	Fixed-point closure: operation:issues/add-sub-issue depends on schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/create	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1issues/post	Operation 'issues/create' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration	ebed0ad22a9b83ec6dab24ff54aba9ce950af2f3c5ad89a664207046d4c73d93	dependent-operation-closure	github-operation-paths-repos-owner-repo-issues-post	Fixed-point closure: operation:issues/create depends on schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/get	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1issues~1{issue_number}/get	Operation 'issues/get' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration	463d25121aa0a0d235b49fa033db0e0a1f509f527091b5d7ee6f4ad78d0ba96a	dependent-operation-closure	github-operation-paths-repos-owner-repo-issues-issue-number-get	Fixed-point closure: operation:issues/get depends on schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/get-event	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1issues~1events~1{event_id}/get	Operation 'issues/get-event' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/issue-event has no emitted declaration	9460fbd98c08647a7fa0ab56d288777a06489d1808cc6cc4c6c874151c26fd7f	dependent-operation-closure	github-operation-paths-repos-owner-repo-issues-events-event-id-get	Fixed-point closure: operation:issues/get-event depends on schema sdkgen://source/openapi.yaml#/components/schemas/issue-event has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/get-parent	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1issues~1{issue_number}~1parent/get	Operation 'issues/get-parent' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration	69e020c656c33bbe04f84a31212c0af86bc9f5f8d9b41e1d652a285258ffd190	dependent-operation-closure	github-operation-paths-repos-owner-repo-issues-issue-number-parent-get	Fixed-point closure: operation:issues/get-parent depends on schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/list	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1issues/get	Operation 'issues/list' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration	98ea2511c98342a5cff9e1d8278b2632dd7d19caf0937b99af850622d0f78d4e	dependent-operation-closure	github-operation-paths-issues-get	Fixed-point closure: operation:issues/list depends on schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/list-dependencies-blocked-by	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1issues~1{issue_number}~1dependencies~1blocked_by/get	Operation 'issues/list-dependencies-blocked-by' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration	12fd93de51b947f1ca61ee26beac926b2c7e21b8270506fc69b16f77f0e11aa1	dependent-operation-closure	github-operation-paths-repos-owner-repo-issues-issue-number-dependencies-blocked-by-get	Fixed-point closure: operation:issues/list-dependencies-blocked-by depends on schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/list-dependencies-blocking	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1issues~1{issue_number}~1dependencies~1blocking/get	Operation 'issues/list-dependencies-blocking' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration	f7db4cfa98ce31834a8973e1c11ceda7c44ae43e1bf0d29888436ff02f3290e6	dependent-operation-closure	github-operation-paths-repos-owner-repo-issues-issue-number-dependencies-blocking-get	Fixed-point closure: operation:issues/list-dependencies-blocking depends on schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/list-events-for-repo	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1issues~1events/get	Operation 'issues/list-events-for-repo' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/issue-event has no emitted declaration	8fdca3f0b5bf6748ac0acf2985f24ca62aee327aca53bd7ffba909091a52e9ed	dependent-operation-closure	github-operation-paths-repos-owner-repo-issues-events-get	Fixed-point closure: operation:issues/list-events-for-repo depends on schema sdkgen://source/openapi.yaml#/components/schemas/issue-event has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/list-events-for-timeline	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1repos~1{owner}~1{repo}~1issues~1{issue_number}~1timeline/get	Operation 'issues/list-events-for-timeline' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/timeline-issue-events has no emitted declaration	ccc23cb58e91844037d27acf7934a666705c118444c2e303a71e123bb2d8f8df	dependent-operation-closure	github-operation-paths-repos-owner-repo-issues-issue-number-timeline-get	Fixed-point closure: operation:issues/list-events-for-timeline depends on schema sdkgen://source/openapi.yaml#/components/schemas/timeline-issue-events has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
operation	operation:issues/list-for-authenticated-user	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.yaml	/paths/~1user~1issues/get	Operation 'issues/list-for-authenticated-user' cannot be represented: schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration	7a9772dc4a4a413b4175e4f139321b351dc3c600fa1917d0824af18f7da6b1c7	dependent-operation-closure	github-operation-paths-user-issues-get	Fixed-point closure: operation:issues/list-for-authenticated-user depends on schema sdkgen://source/openapi.yaml#/components/schemas/issue has no emitted declaration; omit this exact dependent operation rather than leave a dangling generated type reference.	sdkgen-maintainers	omit
