symbolId	category	jsonPointer	reason
operation:actions/create-workflow-dispatch	parameter-path-nonscalar	/components/parameters/workflow-id/schema	Operation 'actions/create-workflow-dispatch' cannot be represented: path parameter 'workflow_id' only supports scalar schema
operation:actions/disable-workflow	parameter-path-nonscalar	/components/parameters/workflow-id/schema	Operation 'actions/disable-workflow' cannot be represented: path parameter 'workflow_id' only supports scalar schema
operation:actions/enable-workflow	parameter-path-nonscalar	/components/parameters/workflow-id/schema	Operation 'actions/enable-workflow' cannot be represented: path parameter 'workflow_id' only supports scalar schema
operation:actions/get-workflow	parameter-path-nonscalar	/components/parameters/workflow-id/schema	Operation 'actions/get-workflow' cannot be represented: path parameter 'workflow_id' only supports scalar schema
operation:actions/get-workflow-usage	parameter-path-nonscalar	/components/parameters/workflow-id/schema	Operation 'actions/get-workflow-usage' cannot be represented: path parameter 'workflow_id' only supports scalar schema
operation:actions/list-workflow-runs	parameter-path-nonscalar	/components/parameters/workflow-id/schema	Operation 'actions/list-workflow-runs' cannot be represented: path parameter 'workflow_id' only supports scalar schema
operation:dependabot/list-alerts-for-enterprise	parameter-form-nonprimitive	/components/parameters/dependabot-alert-comma-separated-has/schema	Operation 'dependabot/list-alerts-for-enterprise' cannot be represented: form parameter 'has' requires a scalar or primitive array schema
operation:dependabot/list-alerts-for-org	parameter-form-nonprimitive	/components/parameters/dependabot-alert-org-scope-comma-separated-has/schema	Operation 'dependabot/list-alerts-for-org' cannot be represented: form parameter 'has' requires a scalar or primitive array schema
operation:dependabot/list-alerts-for-repo	parameter-form-nonprimitive	/components/parameters/dependabot-alert-comma-separated-has/schema	Operation 'dependabot/list-alerts-for-repo' cannot be represented: form parameter 'has' requires a scalar or primitive array schema
operation:projects/get-org-item	parameter-form-nonprimitive	/paths/~1orgs~1{org}~1projectsV2~1{project_number}~1items~1{item_id}/get/parameters/3/schema	Operation 'projects/get-org-item' cannot be represented: form parameter 'fields' requires a scalar or primitive array schema
operation:projects/get-user-item	parameter-form-nonprimitive	/paths/~1users~1{username}~1projectsV2~1{project_number}~1items~1{item_id}/get/parameters/3/schema	Operation 'projects/get-user-item' cannot be represented: form parameter 'fields' requires a scalar or primitive array schema
operation:projects/list-items-for-org	parameter-form-nonprimitive	/paths/~1orgs~1{org}~1projectsV2~1{project_number}~1items/get/parameters/3/schema	Operation 'projects/list-items-for-org' cannot be represented: form parameter 'fields' requires a scalar or primitive array schema
operation:projects/list-items-for-user	parameter-form-nonprimitive	/paths/~1users~1{username}~1projectsV2~1{project_number}~1items/get/parameters/6/schema	Operation 'projects/list-items-for-user' cannot be represented: form parameter 'fields' requires a scalar or primitive array schema
operation:projects/list-view-items-for-org	parameter-form-nonprimitive	/paths/~1orgs~1{org}~1projectsV2~1{project_number}~1views~1{view_number}~1items/get/parameters/3/schema	Operation 'projects/list-view-items-for-org' cannot be represented: form parameter 'fields' requires a scalar or primitive array schema
operation:projects/list-view-items-for-user	parameter-form-nonprimitive	/paths/~1users~1{username}~1projectsV2~1{project_number}~1views~1{view_number}~1items/get/parameters/3/schema	Operation 'projects/list-view-items-for-user' cannot be represented: form parameter 'fields' requires a scalar or primitive array schema
operation:repos/cancel-pages-deployment	parameter-path-nonscalar	/components/parameters/pages-deployment-id/schema	Operation 'repos/cancel-pages-deployment' cannot be represented: path parameter 'pages_deployment_id' only supports scalar schema
operation:repos/get-pages-deployment	parameter-path-nonscalar	/components/parameters/pages-deployment-id/schema	Operation 'repos/get-pages-deployment' cannot be represented: path parameter 'pages_deployment_id' only supports scalar schema
operation:security-advisories/list-global-advisories	parameter-form-nonprimitive	/paths/~1advisories/get/parameters/7/schema	Operation 'security-advisories/list-global-advisories' cannot be represented: form parameter 'affects' requires a scalar or primitive array schema
