schemaId	legacyCandidate	newName	legacyLength	newLength	committedLegacyFilePresent
sdkgen://source/openapi.yaml#/components/schemas/AdditionalToolsItem/properties/role	InlineComponentsSchemasAdditionalToolsItemPropertiesRole	InlineAdditionalToolsItemRoleXe3a56f4e	56	38	false
sdkgen://source/openapi.yaml#/components/schemas/AdditionalToolsItem/properties/tools/items	InlineComponentsSchemasAdditionalToolsItemPropertiesToolsItems	InlineAdditionalToolsItemToolsItemX046294de	62	43	false
sdkgen://source/openapi.yaml#/components/schemas/AdditionalToolsItem/properties/tools/items/anyOf/0	InlineComponentsSchemasAdditionalToolsItemPropertiesToolsItemsAnyOf0	InlineAdditionalToolsItemToolsItemAnyOf1X10c022ff	68	49	false
sdkgen://source/openapi.yaml#/components/schemas/AdditionalToolsItem/properties/tools/items/anyOf/27	InlineComponentsSchemasAdditionalToolsItemPropertiesToolsItemsAnyOf27	InlineAdditionalToolsItemToolsItemAnyOf28X9f958c16	69	50	false
sdkgen://source/openapi.yaml#/components/schemas/AdditionalToolsItem/properties/type	InlineComponentsSchemasAdditionalToolsItemPropertiesType	InlineAdditionalToolsItemTypeXea9f3144	56	38	false
sdkgen://source/openapi.yaml#/components/schemas/AdvisorReasoning/properties/effort	InlineComponentsSchemasAdvisorReasoningPropertiesEffort	InlineAdvisorReasoningEffortXaa661b3e	55	37	true
sdkgen://source/openapi.yaml#/components/schemas/AdvisorServerTool_OpenRouter/properties/type	InlineComponentsSchemasAdvisorServerToolOpenRouterPropertiesType	InlineAdvisorServerToolOpenRouterTypeX7fe9a42d	64	46	true
sdkgen://source/openapi.yaml#/components/schemas/AgentMessageItem/properties/agent	InlineComponentsSchemasAgentMessageItemPropertiesAgent	InlineAgentMessageItemAgentX7f25c0d9	54	36	true
sdkgen://source/openapi.yaml#/components/schemas/AgentMessageItem/properties/content/items	InlineComponentsSchemasAgentMessageItemPropertiesContentItems	InlineAgentMessageItemContentItemX8fd09f29	61	42	true
sdkgen://source/openapi.yaml#/components/schemas/AgentMessageItem/properties/content/items/oneOf/1	InlineComponentsSchemasAgentMessageItemPropertiesContentItemsOneOf1	InlineAgentMessageItemContentItemOneOf2X6b0285b3	67	48	true
sdkgen://source/openapi.yaml#/components/schemas/AgentMessageItem/properties/content/items/oneOf/2	InlineComponentsSchemasAgentMessageItemPropertiesContentItemsOneOf2	InlineAgentMessageItemContentItemOneOf3X70e2ca1a	67	48	true
sdkgen://source/openapi.yaml#/components/schemas/AgentMessageItem/properties/content/items/oneOf/2/properties/type	InlineComponentsSchemasAgentMessageItemPropertiesContentItemsOneOf2PropertiesType	InlineAgentMessageItemContentItemOneOf3TypeX5fe6d0fe	81	52	true
sdkgen://source/openapi.yaml#/components/schemas/AgentMessageItem/properties/type	InlineComponentsSchemasAgentMessageItemPropertiesType	InlineAgentMessageItemTypeX27997a7b	53	35	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicAdvisorMessageUsageIteration/allOf/1	InlineComponentsSchemasAnthropicAdvisorMessageUsageIterationAllOf1	InlineAnthropicAdvisorMessageUsageIterationAllOf2Xcb593e8b	66	58	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicAdvisorMessageUsageIteration/allOf/1/properties/type	InlineComponentsSchemasAnthropicAdvisorMessageUsageIterationAllOf1PropertiesType	InlineAnthropicAdvisorMessageUsageIterationAllOf2TypeXb417bb17	80	62	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicAdvisorToolResult/properties/type	InlineComponentsSchemasAnthropicAdvisorToolResultPropertiesType	InlineAnthropicAdvisorToolResultTypeXe304c700	63	45	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicAllowedCallers/items	InlineComponentsSchemasAnthropicAllowedCallersItems	InlineAnthropicAllowedCallersItemX2d2fed45	51	42	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicBase64ImageSource/properties/type	InlineComponentsSchemasAnthropicBase64ImageSourcePropertiesType	InlineAnthropicBase64ImageSourceTypeXe4e16cd8	63	45	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicBase64PdfSource/properties/media_type	InlineComponentsSchemasAnthropicBase64PdfSourcePropertiesMediaType	InlineAnthropicBase64PdfSourceMediaTypeX2a71058d	66	48	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicBase64PdfSource/properties/type	InlineComponentsSchemasAnthropicBase64PdfSourcePropertiesType	InlineAnthropicBase64PdfSourceTypeX3689578d	61	43	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicBashCodeExecutionOutput/properties/type	InlineComponentsSchemasAnthropicBashCodeExecutionOutputPropertiesType	InlineAnthropicBashCodeExecutionOutputTypeXcef98e7a	69	51	true
