symbolId	category	jsonPointer	reason
operation:DeleteSubscriptionsSubscriptionExposedId	dynamic-object-keys	/paths/~1v1~1subscriptions~1{subscription_exposed_id}/delete/requestBody/content/application~1x-www-form-urlencoded/schema/properties/cancellation_details	Operation 'DeleteSubscriptionsSubscriptionExposedId' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported
operation:PostAccountLinks	dynamic-object-keys	/paths/~1v1~1account_links/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/collection_options	Operation 'PostAccountLinks' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported
operation:PostAccountSessions	dynamic-object-keys	/paths/~1v1~1account_sessions/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/components	Operation 'PostAccountSessions' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported
operation:PostAccounts	dynamic-object-keys	/paths/~1v1~1accounts/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/bank_account/anyOf/0	Operation 'PostAccounts' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported
operation:PostAccountsAccount	dynamic-object-keys	/paths/~1v1~1accounts~1{account}/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/business_profile	Operation 'PostAccountsAccount' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported
operation:PostAccountsAccountBankAccounts	dynamic-object-keys	/paths/~1v1~1accounts~1{account}~1bank_accounts/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/bank_account/anyOf/0	Operation 'PostAccountsAccountBankAccounts' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported
operation:PostAccountsAccountBankAccountsId	dynamic-object-keys	/paths/~1v1~1accounts~1{account}~1bank_accounts~1{id}/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/documents	Operation 'PostAccountsAccountBankAccountsId' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported
operation:PostAccountsAccountExternalAccounts	dynamic-object-keys	/paths/~1v1~1accounts~1{account}~1external_accounts/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/bank_account/anyOf/0	Operation 'PostAccountsAccountExternalAccounts' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported
operation:PostAccountsAccountExternalAccountsId	dynamic-object-keys	/paths/~1v1~1accounts~1{account}~1external_accounts~1{id}/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/documents	Operation 'PostAccountsAccountExternalAccountsId' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported
operation:PostAccountsAccountPeople	dynamic-object-keys	/paths/~1v1~1accounts~1{account}~1people/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/additional_tos_acceptances	Operation 'PostAccountsAccountPeople' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported
