kind	symbolId	diagnosticCode	documentUri	jsonPointer	reason	reasonSha256	category	waiverId	rationale	owner	disposition
operation	operation:DeleteSubscriptionsSubscriptionExposedId	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1subscriptions~1{subscription_exposed_id}/delete/requestBody/content/application~1x-www-form-urlencoded/schema/properties/cancellation_details	Operation 'DeleteSubscriptionsSubscriptionExposedId' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	529c68850ae8cd19261606b7544272d2806e2406ffb4af4699faaf24b59b07f4	dynamic-object-keys	stripe-paths-1v1-1subscriptions-1-subscription-exposed-id-delete-requestbody-content-application-1x-www-form-urlencoded-schema-properties-cancellation-details-529c68850ae8	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'DeleteSubscriptionsSubscriptionExposedId' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAccountLinks	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1account_links/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/collection_options	Operation 'PostAccountLinks' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	8c47b687af834a2951c6ed9b358b64bf6b42e528614c03bed21e0fbb5226b66c	dynamic-object-keys	stripe-paths-1v1-1account-links-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-collection-options-8c47b687af83	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAccountLinks' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAccountSessions	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1account_sessions/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/components	Operation 'PostAccountSessions' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	33b8f03ddc70c76aea939db0bdc785b5ddbfb080729a9b052bacf8595d944a22	dynamic-object-keys	stripe-paths-1v1-1account-sessions-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-components-33b8f03ddc70	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAccountSessions' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAccounts	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1accounts/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/bank_account/anyOf/0	Operation 'PostAccounts' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	f62372ab909df8c29516decef210c8ce3b31a3e78898db54dd33647a3777985b	dynamic-object-keys	stripe-paths-1v1-1accounts-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-bank-account-anyof-0-f62372ab909d	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAccounts' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAccountsAccount	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1accounts~1{account}/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/business_profile	Operation 'PostAccountsAccount' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	86465bf66c88f10628988b1f9d7ccfccc212a887e07a0dab83dbf0b9fed281de	dynamic-object-keys	stripe-paths-1v1-1accounts-1-account-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-business-profile-86465bf66c88	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAccountsAccount' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAccountsAccountBankAccounts	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1accounts~1{account}~1bank_accounts/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/bank_account/anyOf/0	Operation 'PostAccountsAccountBankAccounts' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	9756094227022cdab8d81e47a8c8a70b81da8b1f249e4eb06cfd83d8d92c65a2	dynamic-object-keys	stripe-paths-1v1-1accounts-1-account-1bank-accounts-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-bank-account-anyof-0-975609422702	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAccountsAccountBankAccounts' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAccountsAccountBankAccountsId	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1accounts~1{account}~1bank_accounts~1{id}/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/documents	Operation 'PostAccountsAccountBankAccountsId' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	5666bb63b99dc3e47581506f020900049a12249c365495a88e06a847b8aa32f5	dynamic-object-keys	stripe-paths-1v1-1accounts-1-account-1bank-accounts-1-id-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-documents-5666bb63b99d	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAccountsAccountBankAccountsId' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAccountsAccountExternalAccounts	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1accounts~1{account}~1external_accounts/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/bank_account/anyOf/0	Operation 'PostAccountsAccountExternalAccounts' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	a3414a018f7ae3e22a35f0f9d8df23f5ece0f14ba021af5a41b03c7ae70d9b3b	dynamic-object-keys	stripe-paths-1v1-1accounts-1-account-1external-accounts-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-bank-account-anyof-0-a3414a018f7a	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAccountsAccountExternalAccounts' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAccountsAccountExternalAccountsId	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1accounts~1{account}~1external_accounts~1{id}/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/documents	Operation 'PostAccountsAccountExternalAccountsId' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	b0682d4aadac7cf2bcfc41e38b4d17bf119ef41f8ee16f318218dcf0b0a1bc9e	dynamic-object-keys	stripe-paths-1v1-1accounts-1-account-1external-accounts-1-id-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-documents-b0682d4aadac	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAccountsAccountExternalAccountsId' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAccountsAccountPeople	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1accounts~1{account}~1people/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/additional_tos_acceptances	Operation 'PostAccountsAccountPeople' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	f756b5e66ffd368a4f34e4a112edc36beb26bd90e8af236c72446938611ac69c	dynamic-object-keys	stripe-paths-1v1-1accounts-1-account-1people-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-additional-tos-acceptances-f756b5e66ffd	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAccountsAccountPeople' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
